,PD_RISK_RATING,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Default_Ind
0,2,C&I,0.11370341099999999,0.795355137,1156188.606,0.090962729,0.963878986,120.6061366,0.966453536,-6.8849901010000005,0.195104773,1.09385532,0.890361113,C,T982,Yes,0
1,4,CRE Permanent,0.622299405,0.364232479,,0.497839524,0.606212073,109.62171869999999,0.440732599,-10.01021379,1.6006373930000002,1.146796726,0.8576317929999999,B,X456,Yes,0
2,2,CRE Construction,0.609274733,0.821237902,1046682.63,0.487419786,0.29674584,94.52030569,0.00749147,10.72638433,0.434791618,1.0505199090000001,0.150827646,B,T982,Yes,0
3,1,CRE Construction,0.6233794420000001,0.6130726479999999,1085325.47,0.49870355299999997,0.6410793810000001,94.93387132,0.9109759620000001,0.47612742,0.341299495,1.011260847,0.120292972,B,T982,No,0
4,2,CRE Construction,0.860915384,0.70922782,1051378.6940000001,0.688732307,0.33942971200000005,106.33184840000001,0.939268997,0.251195205,0.9678337579999999,1.002241406,0.32966342600000004,B,R567,Yes,0
5,8,C&I,0.640310605,0.198039254,796542.0643,0.512248484,0.046808413,110.10867879999999,0.5822275729999999,3.157415411,3.464109304,1.051273595,0.5863148,C,T982,Yes,0
6,1,CRE Construction,0.009495756,0.09619984,1019758.277,0.007596605,0.460585694,98.80674747,0.671563481,2.677735345,1.869670296,1.4225966840000002,0.9057358109999999,C,X456,Yes,0
7,1,CRE Construction,0.23255050600000002,0.701470079,1048400.188,0.186040405,0.96207225,99.42403278,0.08393822699999999,3.070730478,0.36251791299999997,1.283273332,0.360689947,B,R567,No,0
8,6,CRE Construction,0.666083758,0.222746412,,0.532867007,0.394401405,103.87736540000002,0.766480933,-3.775395806,0.550536006,1.08831255,0.785280689,B,Y237,Yes,0
9,2,CRE Construction,0.514251141,9.987,,0.411400913,0.026673329,107.0369672,0.236809775,2.312885982,0.827734085,1.089720327,0.43187524899999996,A,Z009,No,0
10,2,CRE Permanent,0.693591292,0.30304824,1125999.206,0.554873033,0.18817332399999998,101.21775040000001,0.030814022000000003,-1.95277189,0.16557070699999998,1.006587468,0.323316615,C,T982,No,0
11,2,CRE Permanent,0.544974836,0.305041028,1083436.929,0.435979868,0.161557767,124.5620639,0.7887727170000001,1.62973237,1.276646826,1.013220575,0.369056974,C,R567,Yes,0
12,5,CRE Permanent,0.282733584,0.19009812199999998,944570.0091,0.22618686699999999,0.09205547,99.40759504,0.346088966,1.5178324769999998,1.680649311,1.034208022,0.7197190509999999,A,T982,No,0
13,6,CRE Construction,0.923433484,0.619877615,,0.7387467870000001,0.779439911,107.4972531,0.623281475,0.43484618,0.9516063229999999,1.148712043,0.578617931,B,Y237,No,0
14,4,CRE Permanent,0.29231584,0.841010845,834063.7608,0.23385267199999998,0.7229136009999999,92.4380065,0.615815695,-1.6946178,0.990325252,1.162184736,0.728869621,A,Y237,Yes,0
15,2,CRE Permanent,0.837295628,0.217778605,,0.669836503,0.394806847,102.9980312,0.14855463900000002,20.23414585,0.5825711170000001,1.455513826,0.54224226,B,Z009,No,0
16,5,CRE Permanent,0.286223285,0.580219808,938713.7643,0.22897862800000002,0.600564222,102.3218641,0.183090647,0.8808488409999999,0.9974845520000001,1.032762756,0.470409244,B,X456,No,0
